STATION,STATION_NAME,DATE,HPCP
COOP:366993,PITTSBURGH ASOS PA US,20130101 00:00,0.01
COOP:366993,PITTSBURGH ASOS PA US,20130101 01:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130101 02:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130101 03:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130101 04:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130101 05:00,0.01
COOP:366993,PITTSBURGH ASOS PA US,20130101 06:00,0.01
COOP:366993,PITTSBURGH ASOS PA US,20130101 07:00,0.01
COOP:366993,PITTSBURGH ASOS PA US,20130101 08:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130101 09:00,0.01
COOP:366993,PITTSBURGH ASOS PA US,20130101 10:00,0.01
COOP:366993,PITTSBURGH ASOS PA US,20130101 11:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130101 12:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130101 13:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130103 23:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130104 01:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130104 02:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130104 03:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130104 04:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130104 05:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130104 06:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130104 07:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130104 09:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130104 10:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130104 11:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130104 12:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130105 23:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130106 00:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130106 10:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130106 12:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130106 16:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130106 17:00,0
COOP:366993,PITTSBURGH ASOS PA US,20130106 18:00,0
