STATION,STATION_NAME,DATE,HPCP
COOP:366111,MURRYSVILLE 2 SW PA US,20060101 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20060101 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20060201 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20060201 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20060301 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20060301 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20060401 00:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20060401 01:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20060401 12:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20060401 17:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060401 20:00,0
COOP:366111,MURRYSVILLE 2 SW PA US,20060404 05:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20060406 11:00,999.99
COOP:366111,MURRYSVILLE 2 SW PA US,20060407 05:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060407 06:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20060407 09:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20060407 10:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060407 11:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060408 10:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060412 23:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060413 00:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060414 23:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20060415 00:00,0.2
COOP:366111,MURRYSVILLE 2 SW PA US,20060421 19:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060422 00:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060422 01:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060422 09:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060422 11:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060422 13:00,0.1
COOP:366111,MURRYSVILLE 2 SW PA US,20060423 06:00,0.1
