INDEX,STATION,STATION_NAME,DATE,HPCP,,DATE_2,HPCP_2
60,COOP:366993,PITTSBURGH ASOS PA US,1/13/13,0,,2013-03-04,0
61,COOP:366993,PITTSBURGH ASOS PA US,1/13/13,0,,2013-03-05,0
62,COOP:366993,PITTSBURGH ASOS PA US,1/13/13,0.02,,2013-03-06,0.13
63,COOP:366993,PITTSBURGH ASOS PA US,1/13/13,0.01,,2013-03-07,0.01
64,COOP:366993,PITTSBURGH ASOS PA US,1/14/13,0.02,,2013-03-08,0
65,COOP:366993,PITTSBURGH ASOS PA US,1/14/13,0,,2013-03-09,0
66,COOP:366993,PITTSBURGH ASOS PA US,1/14/13,0.01,,2013-03-10,0
67,COOP:366993,PITTSBURGH ASOS PA US,1/14/13,0,,2013-03-11,0.23
68,COOP:366993,PITTSBURGH ASOS PA US,1/14/13,0,,2013-03-12,0.02
69,COOP:366993,PITTSBURGH ASOS PA US,1/15/13,0,,2013-03-13,0.03
70,COOP:366993,PITTSBURGH ASOS PA US,1/16/13,0,,2013-03-14,0
71,COOP:366993,PITTSBURGH ASOS PA US,1/16/13,0.03,,2013-03-15,0.01
72,COOP:366993,PITTSBURGH ASOS PA US,1/16/13,0.03,,2013-03-16,0.04
73,COOP:366993,PITTSBURGH ASOS PA US,1/16/13,0.05,,2013-03-17,0
74,COOP:366993,PITTSBURGH ASOS PA US,1/16/13,0.02,,2013-03-18,0.38
75,COOP:366993,PITTSBURGH ASOS PA US,1/16/13,0.01,,2013-03-19,0.03
76,COOP:366993,PITTSBURGH ASOS PA US,1/16/13,0,,2013-03-20,0
77,COOP:366993,PITTSBURGH ASOS PA US,1/16/13,0,,2013-03-21,0
78,COOP:366993,PITTSBURGH ASOS PA US,1/16/13,0,,2013-03-22,0
79,COOP:366993,PITTSBURGH ASOS PA US,1/16/13,0,,2013-03-23,0
80,COOP:366993,PITTSBURGH ASOS PA US,1/16/13,0.01,,2013-03-24,0
81,COOP:366993,PITTSBURGH ASOS PA US,1/16/13,0,,2013-03-25,0.35
82,COOP:366993,PITTSBURGH ASOS PA US,1/16/13,0,,2013-03-26,0.05
83,COOP:366993,PITTSBURGH ASOS PA US,1/16/13,0,,2013-03-27,0.06
84,COOP:366993,PITTSBURGH ASOS PA US,1/17/13,0.02,,2013-03-28,0
85,COOP:366993,PITTSBURGH ASOS PA US,1/17/13,0.01,,2013-03-29,0
236,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0,,2013-03-30,0
237,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0,,2013-03-31,0.07
86,COOP:366993,PITTSBURGH ASOS PA US,1/18/13,0.02,,2013-04-01,0.02
87,COOP:366993,PITTSBURGH ASOS PA US,1/18/13,0,,2013-04-02,0
88,COOP:366993,PITTSBURGH ASOS PA US,1/18/13,0,,2013-04-03,0
89,COOP:366993,PITTSBURGH ASOS PA US,1/18/13,0,,2013-04-04,0
90,COOP:366993,PITTSBURGH ASOS PA US,1/18/13,0,,2013-04-05,0
91,COOP:366993,PITTSBURGH ASOS PA US,1/18/13,0,,2013-04-06,0
92,COOP:366993,PITTSBURGH ASOS PA US,1/21/13,0,,2013-04-07,0
93,COOP:366993,PITTSBURGH ASOS PA US,1/21/13,0,,2013-04-08,0
94,COOP:366993,PITTSBURGH ASOS PA US,1/21/13,0,,2013-04-09,0
95,COOP:366993,PITTSBURGH ASOS PA US,1/21/13,0,,2013-04-10,0.86
96,COOP:366993,PITTSBURGH ASOS PA US,1/21/13,0,,2013-04-11,0.01
97,COOP:366993,PITTSBURGH ASOS PA US,1/21/13,0,,2013-04-12,0.37
98,COOP:366993,PITTSBURGH ASOS PA US,1/21/13,0,,2013-04-13,0
99,COOP:366993,PITTSBURGH ASOS PA US,1/21/13,0,,2013-04-14,0
100,COOP:366993,PITTSBURGH ASOS PA US,1/21/13,0,,2013-04-15,0
101,COOP:366993,PITTSBURGH ASOS PA US,1/21/13,0,,2013-04-16,1.05
102,COOP:366993,PITTSBURGH ASOS PA US,1/21/13,0,,2013-04-17,0
238,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0,,2013-04-18,0
103,COOP:366993,PITTSBURGH ASOS PA US,1/21/13,0,,2013-04-19,0.14
104,COOP:366993,PITTSBURGH ASOS PA US,1/21/13,0,,2013-04-20,0.02
105,COOP:366993,PITTSBURGH ASOS PA US,1/21/13,0,,2013-04-21,0
106,COOP:366993,PITTSBURGH ASOS PA US,1/21/13,0,,2013-04-22,0
107,COOP:366993,PITTSBURGH ASOS PA US,1/21/13,0,,2013-04-23,0
108,COOP:366993,PITTSBURGH ASOS PA US,1/21/13,0,,2013-04-24,0.5
109,COOP:366993,PITTSBURGH ASOS PA US,1/21/13,0,,2013-04-25,0.02
110,COOP:366993,PITTSBURGH ASOS PA US,1/21/13,0,,2013-04-26,0
111,COOP:366993,PITTSBURGH ASOS PA US,1/22/13,0,,2013-04-27,0
239,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0,,2013-04-28,0.21
112,COOP:366993,PITTSBURGH ASOS PA US,1/22/13,0,,2013-04-29,0.07
113,COOP:366993,PITTSBURGH ASOS PA US,1/22/13,0,,2013-04-30,0
114,COOP:366993,PITTSBURGH ASOS PA US,1/22/13,0,,2013-05-01,0
115,COOP:366993,PITTSBURGH ASOS PA US,1/22/13,0,,2013-05-02,0
116,COOP:366993,PITTSBURGH ASOS PA US,1/22/13,0,,2013-05-03,0
117,COOP:366993,PITTSBURGH ASOS PA US,1/22/13,0,,2013-05-04,0
118,COOP:366993,PITTSBURGH ASOS PA US,1/22/13,0,,2013-05-05,0
119,COOP:366993,PITTSBURGH ASOS PA US,1/22/13,0,,2013-05-06,0
240,COOP:366993,PITTSBURGH ASOS PA US,1/31/13,0,,2013-05-07,0.01
120,COOP:366993,PITTSBURGH ASOS PA US,1/22/13,0,,2013-05-08,0.13
121,COOP:366993,PITTSBURGH ASOS PA US,1/23/13,0,,2013-05-09,0
122,COOP:366993,PITTSBURGH ASOS PA US,1/23/13,0,,2013-05-10,0.49
123,COOP:366993,PITTSBURGH ASOS PA US,1/23/13,0,,2013-05-11,0.05
124,COOP:366993,PITTSBURGH ASOS PA US,1/23/13,0,,2013-05-12,0
125,COOP:366993,PITTSBURGH ASOS PA US,1/23/13,0,,2013-05-13,0
126,COOP:366993,PITTSBURGH ASOS PA US,1/23/13,0,,2013-05-14,0
127,COOP:366993,PITTSBURGH ASOS PA US,1/24/13,0,,2013-05-15,0
128,COOP:366993,PITTSBURGH ASOS PA US,1/24/13,0,,2013-05-16,0.38
129,COOP:366993,PITTSBURGH ASOS PA US,1/24/13,0,,2013-05-17,0
130,COOP:366993,PITTSBURGH ASOS PA US,1/24/13,0,,2013-05-18,0
131,COOP:366993,PITTSBURGH ASOS PA US,1/24/13,0.01,,2013-05-19,0
132,COOP:366993,PITTSBURGH ASOS PA US,1/24/13,0,,2013-05-20,0
133,COOP:366993,PITTSBURGH ASOS PA US,1/24/13,0,,2013-05-21,0
134,COOP:366993,PITTSBURGH ASOS PA US,1/24/13,0,,2013-05-22,0.01
135,COOP:366993,PITTSBURGH ASOS PA US,1/24/13,0,,2013-05-23,0.86
241,COOP:366993,PITTSBURGH ASOS PA US,2/1/13,0,,2013-05-24,0
136,COOP:366993,PITTSBURGH ASOS PA US,1/24/13,0,,2013-05-25,0
137,COOP:366993,PITTSBURGH ASOS PA US,1/24/13,0,,2013-05-26,0
138,COOP:366993,PITTSBURGH ASOS PA US,1/24/13,0,,2013-05-27,0
139,COOP:366993,PITTSBURGH ASOS PA US,1/25/13,0.01,,2013-05-28,0.35
140,COOP:366993,PITTSBURGH ASOS PA US,1/25/13,0.04,,2013-05-29,0
141,COOP:366993,PITTSBURGH ASOS PA US,1/25/13,0.07,,2013-05-30,0
142,COOP:366993,PITTSBURGH ASOS PA US,1/25/13,0.03,,2013-05-31,0
242,COOP:366993,PITTSBURGH ASOS PA US,2/1/13,0,,2013-06-01,0.05
143,COOP:366993,PITTSBURGH ASOS PA US,1/25/13,0.03,,2013-06-02,0.06
144,COOP:366993,PITTSBURGH ASOS PA US,1/25/13,0.03,,2013-06-03,0
145,COOP:366993,PITTSBURGH ASOS PA US,1/25/13,0.02,,2013-06-04,0
146,COOP:366993,PITTSBURGH ASOS PA US,1/25/13,0,,2013-06-05,0
147,COOP:366993,PITTSBURGH ASOS PA US,1/25/13,0.01,,2013-06-06,1.03
148,COOP:366993,PITTSBURGH ASOS PA US,1/25/13,0,,2013-06-07,0.03
149,COOP:366993,PITTSBURGH ASOS PA US,1/25/13,0,,2013-06-08,0
150,COOP:366993,PITTSBURGH ASOS PA US,1/25/13,0,,2013-06-09,0
151,COOP:366993,PITTSBURGH ASOS PA US,1/25/13,0,,2013-06-10,0.13
152,COOP:366993,PITTSBURGH ASOS PA US,1/25/13,0,,2013-06-11,0.01
243,COOP:366993,PITTSBURGH ASOS PA US,2/1/13,0,,2013-06-12,0
153,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0,,2013-06-13,1.01
154,COOP:366993,PITTSBURGH ASOS PA US,1/26/13,0,,2013-06-14,0
